крупа кукурузная;;8.30;;1.20;;71.60;;337.00;;95.00
крупа манная;;10.30;;1.00;;67.70;;328.00;;89.00
крупа овсяная;;11.00;;6.10;;49.70;;303.00;;55.00
крупа перловая;;9.30;;1.10;;66.50;;320.00;;22.00
крупа ячневая;;10.00;;1.30;;66.30;;324.00;;55.00
крыжовник;;0.70;;0.20;;9.10;;43.00;;72.00
кукурузные зерна;;3.00;;0.80;;0.00;;103.00;;82.00
куриная грудка;;21.62;;8.30;;0.20;;168.00;;0.00
куриные котлеты;;18.00;;8.00;;15.20;;206.00;;0.00
курица;;25.20;;7.40;;0.00;;170.00;;0.00
лаваш;;9.10;;1.10;;56.00;;277.00;;82.00
лещ;;20.90;;4.70;;0.00;;126.00;;0.00
ликер 24% алкоголя;;0.00;;0.00;;53.00;;345.00;;0.00
лимон;;0.90;;0.10;;3.00;;33.00;;45.00
лисички;;1.60;;1.10;;1.50;;20.00;;0.00
лосось;;24.00;;6.50;;0.00;;176.00;;0.00
лук зеленый перо;;1.30;;0.00;;3.50;;19.00;;0.00
лук порей;;2.00;;0.00;;6.50;;33.00;;16.00
лук репчатый;;1.40;;0.00;;9.10;;41.00;;15.00
майонез провансаль;;2.40;;67.00;;3.90;;627.00;;0.00
макароны высшего сорта;;10.40;;1.10;;69.70;;337.00;;85.00
макароны яичные;;11.30;;2.10;;68.00;;345.00;;86.00
макрель;;2.80;;3.60;;0.00;;124.00;;0.00
малина;;0.80;;0.30;;8.30;;43.00;;73.00
манго;;0.50;;0.27;;11.50;;67.00;;80.00
мандарин;;0.80;;0.30;;8.10;;40.00;;35.00
маргарин молочный;;0.30;;82.00;;17.40;;743.00;;0.00
маргарин сливочный;;0.30;;82.00;;21.00;;743.00;;0.00
маргарин солнечный;;0.30;;72.00;;0.00;;653.00;;0.00
масло арахисовое рафинированное;;0.00;;99.90;;0.00;;899.00;;0.00
масло горчичное;;0.00;;99.80;;0.00;;898.00;;0.00
масло крестьянское несоленое;;0.80;;72.50;;0.00;;661.00;;52.00
масло кукурузное;;0.00;;99.90;;0.00;;899.00;;0.00
масло оливковое;;0.00;;99.80;;0.00;;898.00;;0.00
масло оливковое рафинированное;;0.00;;99.80;;0.00;;898.00;;0.00
масло подсолнечное;;0.00;;99.90;;0.00;;899.00;;0.00
масло подсолнечное рафинированное;;0.00;;99.90;;0.00;;899.00;;0.00
масло сливочное бутербродное;;2.50;;61.50;;0.00;;566.00;;51.00
масло сливочное несоленое;;0.50;;82.50;;0.00;;748.00;;52.00
масло соевое рафинированное;;0.00;;99.90;;0.00;;899.00;;0.00
маслята;;2.40;;0.70;;0.50;;9.00;;0.00
мед;;0.80;;0.00;;80.30;;314.00;;83.00
мидии;;9.10;;1.50;;0.00;;50.00;;0.00
миндаль;;18.60;;57.70;;20.50;;649.00;;0.00
минтай;;17.60;;1.00;;0.00;;79.00;;0.00
мозги говяжьи;;11.70;;8.60;;0.00;;124.00;;0.00
молоко 1.5% жирности;;2.85;;1.50;;4.78;;44.00;;49.00
молоко 2.5% жирности;;2.82;;2.50;;4.73;;52.00;;49.00
молоко 3.2% жирности;;2.80;;3.20;;4.70;;58.00;;48.00
молоко 3.5% жирности;;2.79;;3.50;;4.69;;61.00;;49.00
молоко 6% жирности;;3.00;;6.00;;4.70;;84.00;;51.00
молоко обезжиренное;;3.00;;0.05;;4.70;;31.00;;46.00
молочное мороженное;;3.20;;3.50;;21.30;;126.00;;84.00
морковь;;1.30;;0.10;;7.20;;34.00;;101.00
мороженное крем-брюле;;3.50;;3.50;;23.00;;134.00;;85.00
морская капуста;;0.90;;0.20;;0.00;;5.00;;0.00
мука кукурузная диетическая;;7.20;;1.50;;70.20;;330.00;;85.00
мука пшеничная высшего сорта;;10.30;;1.10;;68.90;;334.00;;62.00
мука ржаная;;9.90;;1.75;;58.20;;295.00;;87.00
мука рисовая диетческая;;7.40;;0.60;;82.00;;371.00;;56.00
мясной хлеб;;12.90;;21.80;;2.00;;256.00;;0.00
налим;;21.40;;0.70;;0.00;;92.00;;0.00
огурцы;;0.80;;0.10;;2.60;;14.00;;15.00
огурцы соленые;;0.80;;0.10;;1.60;;13.00;;30.00
окорочка жареные;;29.40;;8.60;;0.00;;195.00;;0.00
окунь морской;;19.90;;3.60;;0.00;;112.00;;0.00
оладьи;;0.70;;6.60;;39.68;;225.00;;69.00
оливки зеленые;;1.40;;12.70;;1.38;;123.00;;0.00
оливки черные;;2.20;;36.00;;8.70;;361.00;;0.00
омлет;;9.60;;15.40;;1.90;;184.00;;49.00
опята;;2.20;;1.20;;0.50;;17.00;;0.00
орехи грецкие;;15.60;;62.00;;18.30;;700.00;;0.00
отруби пшеничные;;15.10;;3.80;;23.50;;191.00;;77.00
охотничьи колбаски;;25.70;;40.00;;0.00;;463.00;;0.00
палтус;;14.00;;17.80;;0.00;;216.00;;0.00
патиссоны;;0.60;;0.10;;4.10;;19.00;;0.00
перец зеленый;;1.30;;0.00;;5.30;;26.00;;0.00
перец красный сладкий;;1.30;;0.00;;5.30;;27.00;;0.00
персик;;0.90;;0.10;;10.50;;44.00;;60.00
персики сушеные;;3.00;;0.00;;54.20;;227.00;;65.00
петрушка;;3.70;;0.40;;8.00;;49.00;;0.00
петрушка корень;;1.60;;0.60;;10.50;;53.00;;0.00
печень говяжья;;17.90;;3.70;;0.00;;105.00;;0.00
печень куриная;;20.40;;5.90;;1.40;;140.00;;0.00
печень свиная;;18.80;;3.80;;0.00;;109.00;;0.00
печень трески;;17.50;;2.00;;0.00;;88.00;;0.00
печень трески;;17.50;;2.00;;0.00;;88.00;;0.00
печенье затяжное;;8.30;;8.80;;75.60;;418.00;;86.00
печенье сахарное;;7.50;;11.80;;74.40;;435.00;;82.00
печенье сдобное;;10.40;;5.20;;76.80;;458.00;;80.00
пиво ;;0.30;;0.00;;4.40;;38.00;;45.00
пирог с мясом;;13.20;;7.50;;41.20;;284.00;;76.00
пирог с повидлом;;5.30;;2.10;;61.00;;284.00;;68.00
пирожное бисквитное с фруктовой начинкой;;4.70;;9.30;;64.20;;351.00;;82.00
пирожное заварное;;5.90;;10.20;;55.20;;329.00;;83.00
пирожное крошковое;;6.10;;23.80;;51.40;;438.00;;76.00
пирожное песочное с фруктовой начинкой;;5.10;;18.50;;62.60;;435.00;;79.00
пирожное слоеное с кремом;;5.40;;38.60;;46.70;;555.00;;86.00
пирожное слоеное с фруктовой начинкой;;5.70;;25.60;;52.70;;466.00;;76.00
пломбир;;3.20;;15.00;;20.80;;227.00;;50.00
пломбир крем-брюле;;3.00;;15.00;;23.00;;235.00;;86.00
пломбир шоколадный;;3.60;;15.00;;22.30;;236.00;;85.00
подберезовики;;2.30;;0.90;;1.40;;23.00;;0.00
подберезовики сушеные;;23.50;;9.20;;14.30;;231.00;;0.00
подосиновики;;3.30;;0.50;;1.20;;22.00;;0.00
подосиновики сушеные;;35.40;;5.40;;12.90;;239.00;;0.00
помидоры;;1.10;;0.20;;3.80;;23.00;;15.00
пончики;;5.60;;13.00;;38.80;;296.00;;79.00
портвейн;;0.00;;0.00;;13.70;;167.00;;0.00
почки говяжьи;;15.20;;2.80;;0.00;;86.00;;0.00
почки свиные;;15.00;;3.60;;0.00;;92.00;;0.00
простокваша;;2.80;;3.20;;4.10;;58.00;;43.00
пряники;;4.80;;2.80;;77.70;;350.00;;85.00
путассу;;17.90;;1.00;;0.00;;81.00;;0.00
пшено;;11.50;;3.30;;66.50;;348.00;;77.00
ревень;;0.70;;0.10;;2.50;;16.00;;0.00
редис;;1.20;;0.10;;3.80;;21.00;;0.00
редька;;1.90;;0.20;;6.50;;35.00;;0.00
репа;;1.50;;0.00;;5.30;;27.00;;72.00
рис;;7.00;;0.60;;73.30;;323.00;;88.00
рис коричневый;;6.30;;4.40;;65.10;;331.00;;69.00
ром;;0.00;;0.00;;0.00;;220.00;;0.00
рыжики;;1.90;;0.80;;0.50;;17.00;;0.00
рябина черноплодная;;1.50;;0.10;;10.90;;52.00;;31.00
ряжанка 6% жирности;;5.00;;6.00;;4.10;;84.00;;48.00
сайка простая;;7.80;;2.40;;50.30;;259.00;;80.00
салака;;22.00;;7.30;;0.00;;153.00;;0.00
салат;;1.50;;0.20;;2.30;;17.00;;10.00
салат кочанный;;1.40;;0.20;;0.80;;11.00;;0.00
сардельки говяжьи;;11.40;;18.20;;1.50;;215.00;;0.00
сардельки свиные;;10.10;;31.60;;1.90;;332.00;;0.00
сардина;;20.10;;10.80;;0.00;;178.00;;0.00
сахар песок;;0.00;;0.00;;99.80;;379.00;;92.00
сахар рафинад;;99.80;;0.00;;0.00;;379.00;;92.00
свекла;;1.50;;0.10;;9.10;;42.00;;91.00
свинина;;22.60;;51.60;;0.00;;375.00;;0.00
сельдерей;;1.30;;0.30;;6.10;;32.00;;0.00
сельдь атлантическая;;17.00;;8.50;;0.00;;145.00;;0.00
семечки подсолнуха сушенные;;23.00;;49.50;;18.80;;610.00;;0.00
семечки тыквы сушеные;;24.50;;46.00;;17.80;;580.00;;0.00
сердце говяжье;;16.00;;3.50;;0.00;;96.00;;0.00
сердце кур;;15.80;;10.30;;0.80;;159.00;;0.00
сердце свиное;;16.20;;4.00;;0.00;;101.00;;0.00
скумбрия;;19.60;;14.70;;0.00;;211.00;;0.00
