ананасовый сок;;0.30;;0.10;;11.40;;48.00;;0.00
антрекот;;27.30;;31.20;;1.70;;396.00;;0.00
анчоус атлантический;;20.10;;6.10;;0.00;;135.00;;0.00
апельсин;;0.90;;0.20;;8.10;;36.00;;0.00
апельсиновый нектар;;0.30;;0.00;;10.10;;43.00;;0.00
апельсиновый сок;;0.90;;0.20;;8.10;;36.00;;0.00
арахис;;26.30;;45.20;;9.90;;551.00;;0.00
арахис сушеный;;29.20;;50.20;;10.80;;611.00;;0.00
арбуз;;0.60;;0.10;;5.80;;25.00;;0.00
арбуз консервированный;;0.50;;0.10;;9.00;;37.00;;0.00
артишок;;1.20;;0.10;;6.00;;28.00;;0.00
ассорти из фасоли с ананасами в соусе карри;;3.80;;1.10;;9.30;;62.00;;0.00
ассорти из цветной капусты, романеско и брокколи;;1.80;;2.70;;8.60;;66.00;;0.00
ассорти мясное;;11.30;;23.50;;0.90;;264.00;;0.00
ассорти овощное;;1.00;;0.10;;3.30;;19.00;;0.00
ассорти рыбное;;10.40;;4.70;;0.50;;78.00;;0.00
ацидофилин 0.1%;;3.00;;0.10;;3.90;;31.00;;0.00
ацидофилин 1.0%;;3.00;;1.00;;4.00;;40.00;;0.00
ацидофилин 3.2%;;2.80;;3.20;;3.80;;57.00;;0.00
ацидофилин 3.2% сладкий;;2.80;;3.20;;8.60;;77.00;;0.00
ацидофилин останкинский 2.5%;;2.80;;2.50;;4.20;;51.00;;0.00
базилик свежий;;2.50;;0.60;;4.30;;27.00;;0.00
базилик сушеный;;14.40;;4.00;;61.00;;251.00;;0.00
баклажан;;1.20;;0.10;;7.10;;24.00;;0.00
баклажанная икра;;0.60;;7.00;;6.00;;90.00;;0.00
баклажанная икра консервированная;;1.70;;13.30;;5.10;;148.00;;0.00
баклажаны по-корейски;;0.00;;9.00;;6.50;;109.00;;0.00
баклажаны фаршированные;;1.50;;6.10;;7.30;;79.00;;0.00
бамбук побеги вареные;;1.50;;0.20;;0.90;;12.00;;0.00
бамбук побеги консервированные;;1.70;;0.40;;1.80;;19.00;;0.00
бамбук побеги сырые;;2.60;;0.30;;3.00;;7.00;;0.00
банан;;1.50;;0.10;;21.80;;89.00;;0.00
бананы сушеные;;3.90;;1.80;;80.50;;390.00;;0.00
бараний фарш;;17.00;;23.00;;0.00;;282.00;;0.00
